1,1-1：シェル変数の一覧を表示するには、どのコマンドラインを実行すればよいか？,set,env,env -a,set -a,
2,1-3：現在のシェルに、パラメータやオプションを設定するコマンドはどれか？,set,env,shell -a,op,
3,1-4：export コマンドの目的として適切なものはどれか？,シェル変数を環境変数に設定し、bash から起動するアプリケーションが参照できるようにする,リモートでシェルが使用できるようになる,サブシェルでコマンド履歴を使用できるようにする,ネットワーク上の他のシステムから利用できるようにNFSの共有パーティションを設定する,
4,1-6：cd ~yuko コマンドを実行した際、適切なものはどれか？,ユーザ yuko のホームディレクトリに移動する,文法エラーとなる,/~yuko という名前のディレクトリがあればそこに移動する,実行ユーザのホームディレクトリの下の yuko ディレクトリに移動,
5,1-8：あるコマンドの第１セクションのマニュアルを表示するコマンドとして適切なものはどれか？,man 1 command,man -section 1 command,man -s 1 command,man --c 1 command,
6,1-9：コマンドの実行履歴が保存されているファイルとして、適切なものはどれか？,~/.bash_history,~/history,~/hist_file,~/bash_history,~/HISTFILE
7,1-15：圧縮された tar ファイルである file.tar.gz に格納されているファイル名の一覧を表示させるために、適切なものはどれか？,tar ztf file.tar.gz,tar cvf file.tar.gz,tar xvf file.tar.gz,tar zxf file.tar.gz,
8,1-16：カレントディレクトリにある samples.tgz には、a.txt と b.txt ファイルが格納されている。「gunzip samples.tgz」と実行した際に、カレントディレクトリにあるファイルはどれか？,samples.tar,a.txt と b.txt,a.txt とb.txt と sample.tgz,samples.tgz,
9,1-18：ファイルのタイプを確認するコマンドとして適切なものはどれか？,file,type,find,ls,
10,"1-19：bash を使用している場合に、コマンドの後で""1>&2""と指定した場合の説明として、適切なものはどれか？",標準出力(stdout)を標準エラー出力(stderr)にリダイレクトする,標準入力(stdin)を標準出力(stdout)にリダイレクトする,標準エラー出力(stderr)を標準入力(stdin)にリダイレクトする,標準入力(Stdin)を標準エラー出力(stderr)にリダイレクトする,標準エラー出力(stderr)を標準出力(stdout)にリダイレクトする
11,1-20：コマンド「cmd 1 > data」を実行した場合の説明で正しいものはどれか？,コマンド cmd の標準出力を data に格納する,コマンド cmd の標準エラー出力を data に格納する,コマンド cmd の標準出力、標準エラー出力の両方を data に格納する,data の内容を標準入力からコマンド cmd に取り組む,
